project_id,investment,expected_return
1,1508.3335403992978,2213.0005883991284
2,25591.855015288198,31764.662331522803
3,25292.89136357316,60300.018166859
4,7557.646919004553,13788.506133581182
5,7963.443187272389,10248.597377447872
6,11709.375105677833,14725.245969298254
7,21506.90084501217,48999.1207459466
8,13156.957252264396,24531.20772859205
9,5118.922907102154,7501.388471062751
10,17929.433362469605,34176.29204894169
11,9172.04098008375,14119.381637594626
12,44049.395191100295,97273.06625503032
13,47597.237549709105,85214.61978501531
14,2898.670415783671,7105.283119488043
15,35256.26217853929,64463.84445813733
16,29065.230962901052,68716.89779185291
17,45002.34879303233,65241.09242517748
18,33678.049673062196,61633.600061068406
19,27844.051369277597,50343.26880954771
20,35418.94377933471,79278.22444756092
21,19937.381311118603,23974.14098005967
22,35027.49521045845,79536.57613045805
23,41418.65276052686,92195.01716373596
24,23817.755292996026,39748.25566162011
25,47085.696066806144,54197.1310331413
26,40383.24873060357,87799.47242056413
27,49184.603162992295,100852.95976215083
28,9312.176621604587,22223.51363797199
29,26533.150861530066,49995.35142548388
30,47330.35343183579,116186.86131613013
31,32827.482694863334,50283.10569197477
32,43180.764238059135,67985.77948312426
33,48571.45459242103,103128.58985563503
34,10091.542659788574,21009.762982206645
35,12912.668090357016,27316.60072825282
36,43796.641311955114,102988.67104460181
37,45407.58656925188,95506.17289200937
38,38155.62135303579,78410.33141335766
39,17998.195735000463,41042.43003952164
40,23713.20098521882,47501.49214271946
41,30916.34930155834,47109.666613729016
42,25317.804165888163,57225.67282737069
43,24420.726663379,35229.52018590272
44,22342.217773550943,46590.06966162809
45,43650.006524900025,80763.14247060877
46,10180.573706009658,16626.234199607647
47,34696.030566441084,46841.90029626578
48,35472.92951626802,83012.4813621658
49,46334.80378628426,56172.92861370069
50,2933.286066039086,6526.632206454327
51,32708.718963710457,67277.20638424142
52,32264.645251151862,56360.35396339857
53,23623.185461064153,47947.24799628659
54,3599.911799784258,5384.5060380174
55,2889.9752349555583,6664.874426131572
56,9307.039296185967,12563.305962167891
57,39932.84646194843,76335.43339536132
58,8967.696281443961,15685.29116824733
59,7798.196289198043,15927.898249419757
60,18292.930708401414,32315.820093610124
61,24740.424302487303,60206.208859671926
62,35189.082871065104,80743.48601209001
63,40256.66515308861,94921.59125224859
64,14071.944476525123,15982.868727548097
65,45564.33425365426,60098.995238718475
66,2120.480548514166,3748.283154857372
67,19381.01536229292,41254.63430129033
68,10782.03310376301,17238.673225722378
69,17797.456228909105,33641.37620095671
70,22761.502457158276,26486.58843437878
71,25408.84090772784,50731.744741106646
72,21302.96991518146,43749.67355763001
73,11498.542181361934,19017.352274017696
74,11615.345923616243,14999.386526878514
75,12383.049235078432,20841.17774763735
76,36725.195410694214,78365.9835948636
77,21380.014683724818,41007.524317310425
78,29611.010722676176,69195.20281746238
79,25222.493651502627,48181.25477293327
80,22072.29389634814,29779.02611218731
81,37003.52503477231,71359.5355625659
82,28254.607853378795,33211.28096615739
83,15828.90144134032,33886.170080189106
84,48569.11154585934,67095.93154783548
85,12017.287994041902,28439.45857767931
86,7799.688690778964,13750.812415623268
87,31131.691292748717,53494.035244884064
88,25104.518024952566,32397.671295527623
89,9974.483949007805,22250.817826745162
90,6356.215243070285,15152.201800671872
91,27439.20072124777,56865.65506648307
92,15175.664795863946,30875.834598438494
93,6049.648540460045,12639.318176291988
94,25039.475860541468,53653.06251160039
95,31972.4925518903,67156.08556716461
96,2860.4916294204622,3719.0611371758127
97,25505.2881016462,51849.72892628971
98,5093.62806654282,12094.821629256952
99,39774.59350247442,45557.61823404991
100,38143.76522121579,51827.4643155947
